,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activations,param_batch_size,param_dropout_rate,param_learning_rate,param_nb_epoch,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.273947095870971,0.08170973604624786,0.007060861587524414,0.0011835139725617882,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,50,"[20, 10, 5, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [20, 10, 5, 1]}",-70273.83403224578,-70015.46026693106,-65456.23196963065,-64479.585762286864,-69620.1242174812,-67969.0472497151,2478.5675543554394,1272,-68385.01612176141,-66490.10597841343,-68636.45684813285,-68043.64481952018,-67453.94361840075,-67801.83347724572,766.3977137789327
1,4.34943642616272,0.043071295129395185,0.008073949813842773,0.001438378814281131,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,50,"[30, 30, 15, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [30, 30, 15, 1]}",-69028.37055301602,-70874.46324390046,-64635.55053593071,-63946.70356164739,-69666.86706569057,-67630.39099203704,2798.7214534186996,918,-66182.24086782419,-67344.20048569154,-67936.85031090816,-67225.32304888574,-67390.92415593304,-67215.90777384854,571.9097508638795
2,4.384030818939209,0.06604858656270932,0.0065880298614501955,0.000426503221077285,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,50,"[50, 50, 25, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 50, 'neurons': [50, 50, 25, 1]}",-67174.31516948737,-70421.00199850266,-65175.96304402679,-64458.25056540753,-69314.58643503152,-67308.82344249116,2297.8987022560946,449,-65040.23452427693,-67017.61034712542,-68407.6499143045,-68600.97693242207,-67102.73116127733,-67233.84057588124,1274.5778030709614
3,4.384392309188843,0.0747887456030976,0.0065572261810302734,0.0003027196107737567,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,100,"[20, 10, 5, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [20, 10, 5, 1]}",-68868.10235786099,-70679.92654935125,-63175.79304218806,-63798.11941076893,-68426.62666281991,-66989.71360459781,2964.5572545442524,136,-66695.91757151457,-67241.63340636884,-66420.29635756221,-67073.38363849848,-65793.82983475123,-66645.01216173905,513.2365806939923
4,4.404391574859619,0.07865959576975694,0.006559848785400391,0.0010513719449703476,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,100,"[30, 30, 15, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [30, 30, 15, 1]}",-69595.65107792728,-70537.32351771352,-64309.54109763968,-64789.84355396298,-70405.01113990643,-67927.47407742997,2780.880538603809,1247,-66964.14662858967,-66982.47076960868,-67547.09313996205,-68251.14991582418,-68338.00053322452,-67616.57219744183,592.5738447548796
5,4.358417987823486,0.05027266135097399,0.00789647102355957,0.0027061489751233053,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,100,"[50, 50, 25, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [50, 50, 25, 1]}",-70566.48196159261,-69577.78926812741,-67479.59351424211,-63616.46225124162,-69169.24400085473,-68081.9141992117,2445.2425888806683,1337,-68014.12711634322,-65479.30032113134,-70574.88509957655,-66642.70689654036,-67042.81614510766,-67550.76711573984,1716.5986311160912
6,4.395712757110596,0.04211151746744941,0.006289339065551758,0.0003851119920859766,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,500,"[20, 10, 5, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [20, 10, 5, 1]}",-69668.33564883546,-70827.31841692385,-64413.353937054635,-64504.53517206861,-68177.31935716863,-67518.17250641025,2635.5276928361304,765,-66959.35507316816,-67276.41321957242,-67508.02584029589,-67660.1399715864,-65927.57136567128,-67066.30109405883,616.4503734911953
7,4.369527292251587,0.048178029584971645,0.007196998596191407,0.001175979658799076,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,500,"[30, 30, 15, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [30, 30, 15, 1]}",-69116.69874384078,-70071.79234415991,-64781.323687325304,-65183.14687128968,-69748.4611171207,-67780.28455274728,2308.6628270749784,1125,-66473.68967824626,-66405.31086018476,-68376.76839807101,-68473.35834398678,-67772.92626128497,-67500.41070835476,899.1434123347198
8,4.373984432220459,0.05141821102167207,0.0062255382537841795,0.00039032744552323884,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,500,"[50, 50, 25, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [50, 50, 25, 1]}",-69274.58921621973,-69413.36440650605,-63236.44474370623,-64266.81166804329,-67987.00752858169,-66835.6435126114,2587.3488003358752,65,-66880.2930158818,-65755.69557183153,-66797.87370271345,-67985.4650335375,-65721.31619460139,-66628.12870371314,838.8337872981151
9,4.462256383895874,0.10955660677259346,0.007097291946411133,0.0012300471165936713,"['relu', 'relu', 'relu', 'identity']",32,0,0.01,1000,"[20, 10, 5, 1]","{'activations': ['relu', 'relu', 'relu', 'identity'], 'batch_size': 32, 'dropout_rate': 0, 'learning_rate': 0.01, 'nb_epoch': 1000, 'neurons': [20, 10, 5, 1]}",-67990.23055528685,-72143.95321294451,-65657.38775671003,-63846.9176859911,-69405.97158322195,-67808.89215883089,2887.992851809533,1154,-65506.45008753686,-68096.08726724281,-68923.51923985258,-67301.05705663303,-66975.15229267273,-67360.4531887876,1146.6163401840847
